iter	R2	RMSE
0	0.008988485512	188258.0965
1	0.01431290673	180262.6341
2	0.02123418771	172556.8486
3	0.03000424356	165146.7791
4	0.03969723512	158122.8752
5	0.05390898179	151116.012
6	0.06600586173	144690.8371
7	0.07846569064	138629.9079
8	0.0918783924	132941.8922
9	0.1108682401	127162.8433
10	0.1270434591	121981.1542
11	0.1416846553	117169.8849
12	0.1631788234	112314.5426
13	0.1813692646	107900.0423
14	0.2012446063	103607.523
15	0.2208104235	99581.23132
16	0.2447263077	95537.63378
17	0.2685116739	91745.53082
18	0.2930872455	88175.96296
19	0.3151856771	84891.5717
20	0.3390672726	81694.54191
21	0.3634049997	78626.0952
22	0.3869204999	75746.65049
23	0.4077856794	73147.71256
24	0.4316729768	70502.07592
25	0.4537573279	68090.99614
26	0.474171844	65870.83707
27	0.4937825194	63777.82479
28	0.5145247303	61691.81854
29	0.5339663351	59773.9159
30	0.5532532397	57910.13344
31	0.5700163372	56259.4589
32	0.5864990366	54670.46201
33	0.6042840275	53039.67383
34	0.6203584882	51557.76361
35	0.6337107967	50283.05266
36	0.648500259	48947.13499
37	0.660746894	47804.30296
38	0.672343243	46726.24211
39	0.6849836867	45588.782
40	0.6962675106	44560.86749
41	0.7072730554	43567.68095
42	0.718418672	42570.20996
43	0.7278305454	41705.67926
44	0.73634606	40919.93135
45	0.7442626483	40183.52321
46	0.7528942399	39396.48408
47	0.7601356868	38724.48482
48	0.7662416947	38144.19167
49	0.7725840528	37549.38043
50	0.7786928833	36975.6324
51	0.7842119816	36452.76188
52	0.7892556986	35971.54147
53	0.7937050107	35542.36058
54	0.7984853397	35085.01451
55	0.8032398093	34630.04401
56	0.8068324615	34277.90068
57	0.8098869875	33973.89025
58	0.8127041616	33693.10039
59	0.8153015365	33433.07258
60	0.8189248704	33081.51013
61	0.8217204293	32804.89069
62	0.8243553148	32543.47384
63	0.8263121682	32345.26989
64	0.8288154099	32097.02392
65	0.8318193126	31801.27618
66	0.83368955	31611.67723
67	0.8359579939	31384.98935
68	0.8380296924	31176.16356
69	0.8400732211	30970.33348
70	0.8434193249	30637.0308
71	0.8452168989	30453.52482
72	0.8470717997	30264.1607
73	0.8489106986	30075.45517
74	0.8510810529	29853.38958
75	0.8538377322	29571.07705
76	0.8551948061	29429.27669
77	0.8571979889	29221.26067
78	0.858345308	29100.17031
79	0.8601097721	28915.59479
80	0.861386086	28780.62238
81	0.8626006519	28651.62577
82	0.8634624478	28559.31621
83	0.8645182317	28446.46019
84	0.8652799072	28364.60348
85	0.8668132389	28201.25027
86	0.8686205718	28007.65102
87	0.8694433256	27918.57869
88	0.8703639101	27818.82525
89	0.8711037548	27738.1372
90	0.8730096535	27531.45284
91	0.8742990539	27390.4365
92	0.8747834924	27336.75026
93	0.8758364702	27220.80097
94	0.87631217	27167.9222
95	0.8765151192	27145.04824
96	0.8772265175	27066.17331
97	0.8781557079	26963.08944
98	0.8790232099	26866.5347
99	0.879735823	26786.94013
100	0.880684914	26680.66982
101	0.8814890698	26590.30084
102	0.8824988628	26476.44114
103	0.882995576	26420.2049
104	0.8834625212	26367.17387
105	0.8836501464	26345.71349
106	0.8844395992	26256.01546
107	0.8849699416	26195.50145
108	0.8856898487	26113.22651
109	0.8861955611	26055.21906
110	0.8868513336	25979.89611
111	0.887935089	25855.04858
112	0.8883193895	25810.59322
113	0.8893581544	25690.15058
114	0.8897479368	25644.76154
115	0.8908364329	25517.79533
116	0.8913439482	25458.3333
117	0.8922710152	25349.42819
118	0.8929489225	25269.46758
119	0.8936055813	25191.80445
120	0.8940209928	25142.51715
121	0.8949872106	25027.58535
122	0.895633249	24950.44515
123	0.895884381	24920.37293
124	0.896445992	24853.03074
125	0.8968082858	24809.48714
126	0.8975592347	24719.02851
127	0.8981727534	24644.87036
128	0.8985321844	24601.32135
129	0.8992543915	24513.58526
130	0.899370326	24499.45106
131	0.8996889933	24460.61032
132	0.9004225782	24370.98186
133	0.9008817477	24314.70701
134	0.9016417702	24221.30403
135	0.90191781	24187.28471
136	0.9024745956	24118.5214
137	0.9027660915	24082.44026
138	0.9034693709	23995.17441
139	0.9037920706	23955.02093
140	0.9040475772	23923.18137
141	0.9042134572	23902.4822
142	0.9043209414	23889.06438
143	0.9048222356	23826.4005
144	0.9048685258	23820.59969
145	0.9050306561	23800.28414
146	0.9051026201	23791.25809
147	0.9051358601	23787.08266
148	0.9053565228	23759.39793
149	0.905670982	23719.88585
150	0.9057660814	23707.92236
151	0.9061910825	23654.39608
152	0.9064476628	23622.02238
153	0.9067061622	23589.36092
154	0.9071323672	23535.41403
155	0.9076835779	23465.46239
156	0.9080076741	23424.23702
157	0.9082981088	23387.22857
158	0.9087454987	23330.09968
159	0.9089309865	23306.37074
160	0.9092848146	23261.04955
161	0.9097971927	23195.26491
162	0.9100069389	23168.27951
163	0.9104044018	23117.05792
164	0.9106634004	23083.61912
165	0.9108486159	23059.67273
166	0.9110046678	23039.48275
167	0.9111811557	23016.62797
168	0.9115140703	22973.45127
169	0.9118644265	22927.92362
170	0.912311131	22869.74313
171	0.9126439857	22826.29518
172	0.9127811845	22808.36391
173	0.9131281681	22762.95007
174	0.9136204875	22698.3568
175	0.9139018649	22661.35602
176	0.9139200597	22658.96125
177	0.9139979163	22648.71019
178	0.9143706061	22599.58221
179	0.9144935684	22583.34845
180	0.9145174284	22580.19656
181	0.9151612434	22495.00528
182	0.9156751599	22426.76991
183	0.9158734665	22400.38341
184	0.9160711141	22374.05281
185	0.9164321369	22325.87872
186	0.9165544394	22309.53565
187	0.9166565323	22295.88413
188	0.9168904177	22264.57763
189	0.9174792368	22185.56712
190	0.9176816681	22158.33853
191	0.9176907514	22157.11584
192	0.9177893908	22143.83553
193	0.9179051353	22128.24177
194	0.9181400356	22096.56045
195	0.9183698823	22065.51709
196	0.9185222951	22044.90795
197	0.9187567516	22013.16722
198	0.9188803065	21996.42197
199	0.9189009562	21993.62188
200	0.9189783488	21983.1253
201	0.9190715973	21970.47166
202	0.9193218768	21936.47247
203	0.9195168097	21909.95411
204	0.9197529028	21877.79465
205	0.9198385278	21866.11971
206	0.9199572331	21849.92401
207	0.920310125	21801.70478
208	0.9203630903	21794.45796
209	0.9204831194	21778.02736
210	0.9205114919	21774.1418
211	0.9205899957	21763.38711
212	0.9207468461	21741.88287
213	0.9209075991	21719.82146
214	0.9209212294	21717.94966
215	0.9209692706	21711.35177
216	0.9209911533	21708.34577
217	0.9210631569	21698.45157
218	0.9210811694	21695.97573
219	0.9211907052	21680.91393
220	0.9212430912	21673.70707
221	0.921257146	21671.77295
222	0.9212783922	21668.84891
223	0.9212908749	21667.13079
224	0.9213224063	21662.79034
225	0.9213395466	21660.43045
226	0.9213826293	21654.4979
227	0.9214535733	21644.72524
228	0.9216143891	21622.55619
229	0.9219034036	21582.65714
230	0.9219860486	21571.23433
231	0.9220474727	21562.74061
232	0.9221935347	21542.52967
233	0.9222027635	21541.25201
234	0.9226989616	21472.44602
235	0.9227271174	21468.53515
236	0.9227906046	21459.7141
237	0.9233793638	21377.73713
238	0.9234432797	21368.81878
239	0.9236109668	21345.40319
240	0.9237235996	21329.6609
241	0.9237793801	21321.86032
242	0.9237912037	21320.20651
243	0.9239156475	21302.79217
244	0.9244023129	21234.55242
245	0.9244453211	21228.51126
246	0.9245254605	21217.24993
247	0.9247118561	21191.03417
248	0.9248379754	21173.27761
249	0.9249272761	21160.69573
250	0.9250529558	21142.97571
251	0.9250994944	21136.41029
252	0.9251195765	21133.57658
253	0.9252077973	21121.12364
254	0.9254262918	21090.24988
255	0.9254419958	21088.02914
256	0.9254517116	21086.65508
257	0.9254848044	21081.97426
258	0.9255057076	21079.01706
259	0.9255430441	21073.734
260	0.9255704031	21069.86191
261	0.9258365412	21032.15855
262	0.925876118	21026.54602
263	0.926052565	21001.50494
264	0.9262049454	20979.85515
265	0.9267151763	20907.20057
266	0.9267525765	20901.86501
267	0.9267601304	20900.78714
268	0.926772332	20899.04602
269	0.9270176638	20864.00785
270	0.9270309527	20862.10826
271	0.9270378078	20861.12827
272	0.9271160618	20849.93817
273	0.9271552589	20844.33087
274	0.9272225165	20834.70584
275	0.9272271678	20834.04003
276	0.9274737189	20798.7177
277	0.9274825293	20797.45436
278	0.9275187193	20792.26421
279	0.9275568328	20786.79679
280	0.9275874857	20782.39855
281	0.9276164271	20778.24505
282	0.927726431	20762.45033
283	0.927757947	20757.92295
284	0.9278269563	20748.00605
285	0.9279189403	20734.78025
286	0.9279394591	20731.82883
287	0.9280042106	20722.51223
288	0.9280864584	20710.67218
289	0.9280917024	20709.91705
290	0.9281352928	20703.639
291	0.9281494458	20701.60019
292	0.9281743156	20698.01713
293	0.9282106286	20692.78432
294	0.9282836541	20682.25709
295	0.9283410888	20673.97365
296	0.928863676	20598.45115
297	0.9289410944	20587.23933
298	0.9290040606	20578.11601
299	0.9291270741	20560.2807
300	0.9291457246	20557.57527
301	0.9291503872	20556.89883
302	0.9292303797	20545.29064
303	0.9292762641	20538.62919
304	0.9292807374	20537.97966
305	0.9293242259	20531.66389
306	0.9293284794	20531.04604
307	0.9294699696	20510.48336
308	0.9295055865	20505.30393
309	0.9295535039	20498.33373
310	0.9295739984	20495.35172
311	0.9296211873	20488.4841
312	0.9296352236	20486.44091
313	0.9298416867	20456.36331
314	0.9298832247	20450.30669
315	0.9298886857	20449.51026
316	0.9299123274	20446.06218
317	0.9299790964	20436.32086
318	0.929996404	20433.79497
319	0.9300109238	20431.67573
320	0.9301912712	20405.33463
321	0.9302170675	20401.5641
322	0.9304393664	20369.04278
323	0.930545793	20353.45467
324	0.930548786	20353.01612
325	0.9306744615	20334.59288
326	0.9307124313	20329.02344
327	0.9307273166	20326.83965
328	0.9314799035	20216.1216
329	0.9314952982	20213.85045
330	0.9315256615	20209.37025
331	0.931544351	20206.61206
332	0.9315692467	20202.93738
333	0.9316111254	20196.75443
334	0.9316203614	20195.39056
335	0.9316465013	20191.53007
336	0.9318656273	20159.13934
337	0.9318781456	20157.28733
338	0.9319120391	20152.27218
339	0.9319207915	20150.97689
340	0.9319519912	20146.35891
341	0.9319544318	20145.99761
342	0.932000472	20139.18098
343	0.9320129001	20137.34052
344	0.9320368846	20133.78819
345	0.93203941	20133.4141
346	0.9320594224	20130.44954
347	0.9322826116	20097.35741
348	0.9322969698	20095.22667
349	0.9323415926	20088.60328
350	0.9327851862	20022.64097
351	0.9328025592	20020.05319
352	0.9328073589	20019.33818
353	0.9328251556	20016.68684
354	0.9328387063	20014.66783
355	0.9328659356	20010.61007
356	0.9328831359	20008.04649
357	0.9330473734	19983.55121
358	0.9333480841	19938.62361
359	0.9333993956	19930.94734
360	0.9334298435	19926.39086
361	0.9334361538	19925.4464
362	0.9335011082	19915.72219
363	0.9335077115	19914.73336
364	0.933581411	19903.69363
365	0.9335854296	19903.0915
366	0.9335924008	19902.04691
367	0.9335976994	19901.25291
368	0.9336057654	19900.04415
369	0.9337508688	19878.28668
370	0.9337589594	19877.07284
371	0.9340944344	19826.67563
372	0.9342645359	19801.07288
373	0.9345193565	19762.65664
374	0.9345281288	19761.33281
375	0.9345604024	19756.46166
376	0.9347402889	19729.28878
