iter	Passed	Remaining
0	151	75612
1	248	61847
2	344	57068
3	463	57517
4	568	56250
5	684	56361
6	784	55218
7	926	56992
8	1087	59342
9	1234	60500
10	1367	60806
11	1492	60708
12	1622	60779
13	1752	60821
14	1882	60853
15	2014	60950
16	2147	61001
17	2275	60921
18	2403	60849
19	2530	60722
20	2667	60836
21	2833	61560
22	2979	61788
23	3128	62047
24	3277	62275
25	3425	62441
26	3593	62949
27	3744	63115
28	3899	63332
29	4052	63484
30	4192	63424
31	4323	63231
32	4481	63426
33	4643	63646
34	4812	63943
35	4940	63673
36	5103	63859
37	5270	64077
38	5419	64061
39	5576	64125
40	5742	64283
41	5931	64680
42	6135	65211
43	6316	65466
44	6522	65948
45	6714	66265
46	6904	66547
47	7097	66838
48	7275	66961
49	7420	66787
50	7581	66750
51	7719	66507
52	7823	65987
53	7931	65504
54	8072	65313
55	8223	65197
56	8371	65062
57	8500	64779
58	8626	64482
59	8729	64013
60	8859	63757
61	9007	63635
62	9143	63424
63	9295	63324
64	9443	63198
65	9580	62997
66	9708	62743
67	9834	62476
68	9966	62254
69	10100	62043
70	10218	61744
71	10333	61425
72	10447	61112
73	10547	60720
74	10669	60460
75	10779	60140
76	10900	59884
77	11030	59679
78	11101	59160
79	11210	58852
80	11331	58617
81	11452	58377
82	11555	58056
83	11677	57831
84	11787	57548
85	11946	57508
86	12076	57330
87	12180	57026
88	12279	56705
89	12433	56642
90	12615	56701
91	12777	56663
92	12919	56538
93	13059	56403
94	13219	56357
95	13349	56178
96	13454	55897
97	13590	55748
98	13736	55638
99	13875	55500
100	14034	55445
101	14249	55599
102	14381	55430
103	14505	55234
104	14619	54996
105	14723	54726
106	14851	54548
107	14979	54371
108	15094	54146
109	15193	53868
110	15302	53629
111	15407	53376
112	15512	53126
113	15618	52884
114	15739	52692
115	15851	52474
116	15968	52274
117	16077	52046
118	16186	51824
119	16297	51607
120	16426	51451
121	16538	51241
122	16637	50993
123	16788	50908
124	16914	50742
125	17037	50570
126	17164	50413
127	17300	50279
128	17448	50180
129	17597	50086
130	17750	50000
131	17918	49955
132	18047	49800
133	18191	49688
134	18343	49595
135	18519	49567
136	18713	49583
137	18932	49663
138	19159	49758
139	19294	49615
140	19404	49406
141	19513	49196
142	19617	48975
143	19731	48780
144	19856	48613
145	19962	48403
146	20059	48170
147	20187	48013
148	20282	47780
149	20383	47561
150	20490	47359
151	20592	47146
152	20701	46950
153	20818	46773
154	20929	46585
155	21033	46380
156	21158	46224
157	21261	46020
158	21380	45854
159	21477	45638
160	21591	45462
161	21688	45250
162	21788	45046
163	21908	44886
164	22016	44700
165	22122	44511
166	22218	44303
167	22326	44120
168	22426	43923
169	22535	43745
170	22640	43560
171	22751	43386
172	22866	43221
173	22973	43043
174	23071	42846
175	23179	42670
176	23276	42477
177	23343	42227
178	23440	42035
179	23547	41862
180	23606	41604
181	23702	41413
182	23820	41263
183	23918	41077
184	24015	40891
185	24124	40726
186	24223	40544
187	24319	40360
188	24433	40204
189	24529	40021
190	24641	39865
191	24741	39688
192	24859	39543
193	24965	39378
194	25063	39202
195	25158	39022
196	25270	38867
197	25368	38693
198	25479	38539
199	25576	38364
200	25689	38213
201	25806	38071
202	25919	37921
203	26020	37755
204	26138	37613
205	26241	37451
206	26344	37290
207	26440	37118
208	26556	36976
209	26652	36806
210	26778	36677
211	26886	36525
212	26985	36361
213	27091	36206
214	27187	36039
215	27281	35869
216	27377	35704
217	27483	35551
218	27585	35395
219	27696	35249
220	27808	35106
221	27922	34965
222	28024	34811
223	28131	34662
224	28228	34501
225	28339	34358
226	28439	34202
227	28547	34056
228	28645	33899
229	28757	33759
230	28866	33615
231	28977	33474
232	29072	33314
233	29189	33180
234	29293	33033
235	29399	32887
236	29496	32731
237	29601	32586
238	29721	32456
239	29849	32336
240	29952	32189
241	30058	32045
242	30155	31893
243	30266	31755
244	30366	31605
245	30473	31464
246	30571	31314
247	30697	31192
248	30798	31045
249	30903	30903
250	30999	30752
251	31109	30615
252	31212	30472
253	31318	30332
254	31414	30182
255	31518	30041
256	31617	29894
257	31739	29771
258	31841	29628
259	31924	29468
260	32019	29320
261	32131	29188
262	32226	29040
263	32323	28894
264	32435	28763
265	32574	28656
266	32693	28530
267	32813	28405
268	32954	28299
269	33084	28182
270	33198	28053
271	33322	27932
272	33453	27816
273	33584	27700
274	33716	27586
275	33846	27469
276	33976	27352
277	34108	27237
278	34237	27119
279	34347	26987
280	34483	26874
281	34592	26742
282	34708	26613
283	34811	26476
284	34911	26336
285	35008	26195
286	35115	26061
287	35212	25920
288	35330	25795
289	35431	25657
290	35546	25530
291	35650	25394
292	35753	25259
293	35850	25120
294	35961	24990
295	36059	24851
296	36167	24720
297	36263	24581
298	36379	24455
299	36482	24321
300	36597	24195
301	36702	24063
302	36813	23934
303	36912	23799
304	37019	23668
305	37115	23530
306	37225	23402
307	37322	23265
308	37436	23140
309	37534	23005
310	37667	22890
311	37778	22763
312	37876	22628
313	37972	22493
314	38085	22367
315	38186	22235
316	38291	22105
317	38391	21972
318	38504	21847
319	38618	21722
320	38725	21594
321	38844	21473
322	38940	21338
323	39048	21211
324	39147	21079
325	39261	20955
326	39360	20823
327	39465	20695
328	39611	20588
329	39737	20470
330	39840	20341
331	39942	20212
332	40038	20079
333	40148	19953
334	40249	19824
335	40358	19698
336	40463	19571
337	40584	19451
338	40687	19323
339	40790	19195
340	40885	19063
341	40997	18940
342	41105	18815
343	41207	18687
344	41304	18557
345	41409	18431
346	41512	18303
347	41629	18182
348	41734	18056
349	41838	17930
350	41935	17801
351	42040	17676
352	42137	17547
353	42247	17423
354	42343	17295
355	42453	17172
356	42573	17053
357	42677	16927
358	42778	16801
359	42890	16679
360	42986	16551
361	43092	16427
362	43187	16299
363	43273	16168
364	43369	16040
365	43485	15920
366	43590	15796
367	43685	15669
368	43791	15546
369	43892	15421
370	43997	15298
371	44094	15172
372	44208	15052
373	44314	14929
374	44416	14805
375	44528	14684
376	44630	14561
377	44727	14436
378	44838	14315
379	44936	14190
380	45045	14069
381	45140	13944
382	45275	13830
383	45390	13711
384	45520	13597
385	45628	13475
386	45732	13353
387	45828	13228
388	45948	13111
389	46090	13000
390	46187	12875
391	46282	12751
392	46387	12629
393	46495	12508
394	46605	12388
395	46703	12265
396	46809	12144
397	46905	12020
398	47017	11901
399	47115	11778
400	47217	11657
401	47313	11534
402	47427	11415
403	47531	11294
404	47634	11173
405	47731	11051
406	47835	10930
407	47931	10808
408	48052	10691
409	48153	10570
410	48295	10458
411	48421	10342
412	48551	10227
413	48669	10110
414	48788	9992
415	48908	9875
416	49043	9761
417	49166	9645
418	49295	9529
419	49414	9412
420	49568	9301
421	49716	9189
422	49838	9072
423	49953	8953
424	50076	8836
425	50216	8723
426	50325	8603
427	50432	8483
428	50545	8365
429	50648	8245
430	50756	8125
431	50852	8004
432	50967	7886
433	51075	7767
434	51179	7647
435	51276	7526
436	51389	7408
437	51500	7290
438	51608	7171
439	51703	7050
440	51810	6931
441	51905	6811
442	52011	6692
443	52106	6572
444	52215	6453
445	52320	6334
446	52443	6218
447	52544	6098
448	52655	5980
449	52753	5861
450	52858	5742
451	52960	5624
452	53067	5505
453	53167	5387
454	53272	5268
455	53381	5150
456	53487	5032
457	53585	4913
458	53697	4796
459	53798	4678
460	53900	4559
461	53996	4441
462	54107	4323
463	54207	4205
464	54312	4088
465	54426	3971
466	54540	3854
467	54642	3736
468	54747	3618
469	54842	3500
470	54958	3383
471	55065	3266
472	55170	3149
473	55268	3031
474	55397	2915
475	55494	2798
476	55608	2681
477	55711	2564
478	55825	2447
479	55925	2330
480	56032	2213
481	56138	2096
482	56248	1979
483	56367	1863
484	56476	1746
485	56573	1629
486	56681	1513
487	56776	1396
488	56885	1279
489	56989	1163
490	57094	1046
491	57190	929
492	57315	813
493	57419	697
494	57525	581
495	57620	464
496	57727	348
497	57824	232
498	57936	116
499	58036	0
